enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps,Evaluations,convergence(%),pvalues
775.319,15.749,0.383,0.077,8.063,13.157,266.716,175,"[217, 188, 500, 169, 450, 372, 184, 227, 218, 200, 324, 143, 500, 169, 144, 148, 166, 500, 500, 239]",80.0,"['-', 0.3301542612343653, 0.9784197833524485, 0.5162077306368925, 0.4170770595205646, 0.29767675447218034, 0.8076561934993387, 0.8604309737352772, 0.5978625674290079, 0.507505297961912]"
694.655,14.999,0.429,0.044,14.09,10.587,500,171,"[500, 167, 500, 500, 163, 172, 174, 400, 500, 500, 221, 178, 242, 349, 215, 500, 500, 155, 226, 203]",65.0,"[0.3301542612343653, '-', 0.29767675447218034, 0.159544659377869, 0.7660458933595257, 0.9031164959895642, 0.40172032908792543, 0.26740703807111565, 0.6456228047372299, 0.8181494613881999]"
810.097,16.824,0.322,0.1,3.878,17.34,280.602,172,"[215, 265, 164, 193, 152, 423, 146, 200, 158, 182, 253, 190, 217, 273, 500, 267, 377, 500, 252, 195]",90.0,"[0.9784197833524485, 0.29767675447218034, '-', 0.4327745949916676, 0.4170770595205646, 0.27925094536873785, 0.9031164959895642, 0.9031164959895642, 0.35772797019341296, 0.4988805190741191]"
505.726,21.0,0.42,0.07,9.991,11.334,334.188,151,"[500, 135, 500, 181, 210, 500, 163, 167, 141, 500, 176, 153, 151, 169, 129, 175, 222, 500, 500, 228]",70.0,"[0.5162077306368925, 0.159544659377869, 0.4327745949916676, '-', 0.11049878401993231, 0.07870399677767308, 0.39417090995164517, 0.5699997477501184, 0.2732851201810752, 0.19414845126597868]"
381.005,14.359,0.288,0.096,7.647,9.567,475.692,165,"[267, 192, 500, 263, 270, 203, 194, 214, 177, 255, 268, 240, 324, 200, 172, 242, 500, 196, 500, 205]",85.0,"[0.4170770595205646, 0.7660458933595257, 0.4170770595205646, 0.11049878401993231, '-', 0.7557428276359095, 0.507505297961912, 0.3720430601582415, 0.7763905055505131, 0.8710691939955636]"
926.057,15.892,0.387,0.075,7.518,19.379,344.591,150,"[286, 500, 177, 500, 264, 500, 500, 182, 223, 201, 500, 267, 176, 251, 200, 185, 325, 193, 500, 163]",70.0,"[0.29767675447218034, 0.9031164959895642, 0.27925094536873785, 0.07870399677767308, 0.7557428276359095, '-', 0.3301542612343653, 0.20845355458876536, 0.6849253186565316, 0.7352681529274933]"
885.868,23.767,0.5,0.01,1,10.716,371.674,152,"[157, 170, 258, 500, 190, 205, 179, 500, 209, 391, 500, 156, 173, 156, 500, 213, 405, 169, 241, 332]",80.0,"[0.8076561934993387, 0.40172032908792543, 0.9031164959895642, 0.39417090995164517, 0.507505297961912, 0.3301542612343653, '-', 0.7250998943601429, 0.6263280630826087, 0.507505297961912]"
461.127,17.975,0.396,0.079,6.051,13.448,500,151,"[177, 254, 184, 182, 390, 200, 158, 500, 155, 500, 354, 148, 168, 263, 500, 142, 478, 216, 366, 171]",85.0,"[0.8604309737352772, 0.26740703807111565, 0.9031164959895642, 0.5699997477501184, 0.3720430601582415, 0.20845355458876536, 0.7250998943601429, '-', 0.4988805190741191, 0.33691523838231996]"
212.233,24.052,0.5,0.01,4.185,15.314,201.55,136,"[162, 180, 321, 320, 209, 500, 197, 263, 500, 442, 500, 336, 168, 179, 172, 285, 148, 326, 442, 222]",85.0,"[0.5978625674290079, 0.6456228047372299, 0.35772797019341296, 0.2732851201810752, 0.7763905055505131, 0.6849253186565316, 0.6263280630826087, 0.4988805190741191, '-', 0.8076561934993387]"
376.446,18.594,0.413,0.06,4.573,14.158,392.163,184,"[181, 223, 179, 199, 302, 500, 211, 500, 500, 160, 500, 194, 500, 171, 500, 188, 500, 135, 392, 171]",65.0,"[0.507505297961912, 0.8181494613881999, 0.4988805190741191, 0.19414845126597868, 0.8710691939955636, 0.7352681529274933, 0.507505297961912, 0.33691523838231996, 0.8076561934993387, '-']"
