sol,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,pvalue
157,170,1000,195,270,169,177,1000,184,219,276,0.11384629800665805
173,193,178,161,128,230,118,1000,146,185,236,0.7518296340458492
156,140,200,190,282,213,187,165,132,270,1000,0.34278171114791145
151,179,1000,215,1000,322,131,158,164,213,133,0.34278171114791145
152,193,333,140,179,194,190,149,279,241,184,0.34278171114791145
163,382,179,162,229,1000,218,311,190,203,273,0.2059032107320684
160,195,149,169,176,179,218,245,209,125,156,0.5270892568655381
151,239,298,168,205,146,176,214,297,151,154,0.2683816272927607
151,222,151,195,177,205,153,165,147,1000,158,0.2683816272927607
164,370,187,1000,149,167,283,131,200,172,213,0.34278171114791145
