enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps
491.877,18.326,0.437,0.056,10.638,9.533,440.475,157
446.764,18.945,0.398,0.073,11.964,23.634,304.931,173
505.875,23.015,0.364,0.071,5.053,16.739,208.102,156
1000,21.702,0.5,0.036,11.258,10.628,170.559,151
616.733,23.825,0.457,0.056,1,7.26,323.713,152
760.272,19.313,0.309,0.029,10.561,10.514,235.174,163
282.749,23.027,0.437,0.066,6.257,15.976,274.41,160
671.37,21.298,0.5,0.01,13.334,16.808,183.107,151
791.343,16.171,0.366,0.016,1.195,18.027,200.716,151
806.28,26.155,0.5,0.1,8.034,13.849,478.865,164
