enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps,Evaluations,convergence(%),pvalues
507.943,15.378,0.376,0.1,7.816,9.655,286.799,185,"[228, 159, 500, 205, 182, 500, 193, 199, 204, 222, 249, 256, 192, 204, 200, 167, 500, 229, 257, 188]",85.0,"['-', 0.00022220262013680647, 0.8498180212406273, 0.44074988359834266, 0.6849253186565316, 0.29144660464450534, 0.6456228047372299, 0.5608516966002302, 0.4170770595205646, 0.6948910198677665]"
899.776,19.739,0.383,0.039,7.175,19.728,268.658,181,"[307, 295, 500, 344, 340, 500, 500, 500, 500, 210, 500, 500, 500, 500, 500, 257, 240, 258, 207, 248]",50.0,"[0.00022220262013680647, '-', 0.00490497196539969, 0.007407232568616353, 0.06389223492711604, 0.007407232568616353, 0.005333667447715461, 0.13681554418853384, 0.08585487995041037, 0.07421171617678754]"
703.797,16.221,0.3,0.097,1,14.317,317.656,167,"[192, 182, 154, 246, 182, 268, 237, 500, 193, 500, 239, 500, 161, 152, 199, 500, 147, 174, 500, 315]",75.0,"[0.8498180212406273, 0.00490497196539969, '-', 0.6651590382763763, 0.6651590382763763, 0.5338418935166511, 0.9353224500925261, 0.5885063552717107, 0.40935585574217404, 0.6456228047372299]"
461.745,25.015,0.5,0.097,2.678,16.814,238.763,153,"[175, 178, 151, 350, 184, 500, 500, 181, 134, 402, 500, 500, 172, 250, 145, 215, 155, 500, 174, 195]",75.0,"[0.44074988359834266, 0.007407232568616353, 0.6651590382763763, '-', 0.5249869101903615, 0.22869435423745565, 0.8604309737352772, 0.3507022236669548, 0.27925094536873785, 0.7867749320074033]"
487,15,0.266,0.043,6,15,472,180,"[187, 266, 175, 158, 147, 500, 407, 500, 156, 500, 500, 500, 160, 210, 283, 500, 165, 324, 486, 161]",70.0,"[0.6849253186565316, 0.06389223492711604, 0.6651590382763763, 0.5249869101903615, '-', 0.9676346083712113, 0.7454830184564079, 0.7352681529274933, 0.7149798814655983, 0.49033426450951045]"
915.742,14.221,0.347,0.089,7.607,18.23,231.52,163,"[500, 300, 253, 229, 226, 230, 181, 371, 261, 225, 254, 188, 500, 201, 500, 176, 234, 148, 187, 500]",80.0,"[0.29144660464450534, 0.007407232568616353, 0.5338418935166511, 0.22869435423745565, 0.9676346083712113, '-', 0.29144660464450534, 0.7867749320074033, 0.7454830184564079, 0.5699997477501184]"
640.631,20.526,0.42,0.026,7.329,17.643,238.153,165,"[500, 169, 166, 167, 500, 182, 294, 194, 354, 500, 211, 173, 202, 147, 500, 500, 157, 251, 161, 199]",75.0,"[0.6456228047372299, 0.005333667447715461, 0.9353224500925261, 0.8604309737352772, 0.7454830184564079, 0.29144660464450534, '-', 0.4818673682837039, 0.38670799255173705, 0.6263280630826087]"
1000,21.572,0.5,0.021,12.116,10.908,358.794,152,"[180, 500, 191, 471, 134, 500, 161, 145, 454, 179, 367, 190, 206, 500, 500, 124, 500, 500, 454, 500]",65.0,"[0.5608516966002302, 0.13681554418853384, 0.5885063552717107, 0.3507022236669548, 0.7352681529274933, 0.7867749320074033, 0.4818673682837039, '-', 0.9676346083712113, 0.5249869101903615]"
1000,21.939,0.469,0.085,5.857,9.607,500,130,"[500, 174, 297, 500, 294, 152, 160, 197, 257, 500, 500, 155, 500, 500, 169, 189, 184, 251, 492, 500]",65.0,"[0.4170770595205646, 0.08585487995041037, 0.40935585574217404, 0.27925094536873785, 0.7149798814655983, 0.7454830184564079, 0.38670799255173705, 0.9676346083712113, '-', 0.3301542612343653]"
388.939,21.031,0.476,0.019,1.994,9.07,393.357,168,"[149, 131, 500, 500, 150, 124, 500, 134, 500, 320, 259, 500, 136, 500, 500, 180, 151, 165, 500, 159]",60.0,"[0.6948910198677665, 0.07421171617678754, 0.6456228047372299, 0.7867749320074033, 0.49033426450951045, 0.5699997477501184, 0.6263280630826087, 0.5249869101903615, 0.3301542612343653, '-']"
