Solution,Evaluations,convergence(%),pvalue,conv_pvalue
175,"[192, 178, 240, 500, 311, 141, 155, 182, 202, 240, 169, 262, 500, 256, 500, 436, 202, 161, 260, 204]",85.0,0.32175033823889176,0.385742072026358
171,"[310, 500, 500, 457, 500, 207, 500, 238, 500, 208, 500, 235, 500, 188, 164, 204, 224, 202, 500, 302]",60.0,0.1371995004149624,0.18144920772142048
172,"[157, 226, 213, 500, 238, 311, 148, 500, 500, 203, 224, 183, 153, 194, 181, 243, 271, 334, 500, 472]",80.0,0.24767626769189333,0.30743416592739536
151,"[152, 159, 242, 143, 183, 245, 500, 173, 186, 164, 280, 174, 176, 159, 500, 500, 500, 190, 208, 500]",75.0,0.1371995004149624,0.15852551722895514
165,"[181, 500, 220, 198, 265, 268, 263, 193, 230, 432, 218, 154, 221, 205, 171, 194, 181, 236, 134, 221]",95.0,0.18644918121998122,0.19337316310500363
150,"[370, 341, 239, 500, 211, 268, 248, 371, 251, 180, 500, 500, 482, 161, 500, 222, 500, 500, 247, 500]",65.0,0.09864761042929915,0.10686371499337947
152,"[278, 142, 240, 150, 500, 362, 500, 183, 143, 178, 227, 241, 220, 500, 263, 152, 169, 410, 500, 217]",80.0,0.28307389315280884,0.35832646674888025
151,"[216, 234, 240, 130, 500, 216, 178, 185, 198, 247, 200, 180, 181, 168, 199, 159, 500, 173, 277, 177]",90.0,0.1371995004149624,0.14412703481601533
136,"[500, 151, 205, 500, 161, 231, 500, 190, 238, 382, 183, 168, 500, 213, 500, 137, 174, 343, 414, 162]",75.0,0.09864761042929915,0.10374167823654154
184,"[163, 500, 189, 395, 235, 171, 187, 500, 376, 324, 138, 301, 357, 326, 168, 142, 191, 138, 500, 145]",85.0,0.620294015349161,0.7724882827845961
