enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps,Evaluations,convergence(%),pvalues
677.628,13.548,0.299,0.069,8.511,15.441,172.2,193,"[252, 230, 196, 231, 168, 188, 186, 216, 184, 233, 202, 244, 306, 188, 160, 271, 186, 218, 175, 500]",95.0,"['-', 0.03151710207456157, 0.003193617700310067, 0.551775319331676, 0.11985556595924766, 0.6651590382763763, 0.2732851201810752, 0.037264273241634394, 0.001227183033996389, 0.19414845126597868]"
669.785,13.444,0.323,0.016,8.548,19.225,327.318,191,"[199, 500, 214, 367, 264, 359, 373, 179, 248, 157, 313, 475, 500, 255, 202, 238, 237, 188, 254, 214]",90.0,"[0.03151710207456157, '-', 0.11049878401993231, 0.9676346083712113, 0.9676346083712113, 0.15167081998526688, 0.7454830184564079, 0.0004839947961413228, 0.011881031549672502, 0.7660458933595257]"
1000,25.268,0.5,0.1,3.821,5,245.05,162,"[178, 439, 314, 500, 500, 500, 500, 428, 182, 195, 182, 318, 500, 242, 232, 224, 350, 500, 500, 500]",60.0,"[0.003193617700310067, 0.11049878401993231, '-', 0.24476709560795806, 0.08835201982318805, 0.023073981745790676, 0.06993121216128312, 3.493346903308368e-05, 0.4170770595205646, 0.22350758765929957]"
384.049,21.363,0.5,0.091,15,11.609,444.276,152,"[500, 500, 500, 157, 500, 221, 212, 500, 368, 500, 146, 500, 171, 182, 166, 117, 500, 147, 344, 138]",60.0,"[0.551775319331676, 0.9676346083712113, 0.24476709560795806, '-', 0.9353224500925261, 0.8076561934993387, 0.6948910198677665, 0.12643061736676814, 0.1332831707493199, 0.9353224500925261]"
487,15,0.266,0.043,6,15,472,180,"[500, 162, 163, 348, 228, 149, 500, 251, 359, 286, 500, 179, 181, 342, 243, 294, 498, 270, 172, 264]",85.0,"[0.11985556595924766, 0.9676346083712113, 0.08835201982318805, 0.9353224500925261, '-', 0.379331935127312, 0.8604309737352772, 0.006830255863044082, 0.01606401314826911, 0.6948910198677665]"
915.742,14.221,0.347,0.089,7.607,18.23,231.52,163,"[187, 171, 500, 152, 500, 192, 500, 175, 500, 185, 226, 148, 212, 377, 215, 180, 500, 170, 159, 193]",75.0,"[0.6651590382763763, 0.15167081998526688, 0.023073981745790676, 0.8076561934993387, 0.379331935127312, '-', 0.7250998943601429, 0.20360267380135888, 0.013833498919863277, 0.4327745949916676]"
408.732,25.586,0.5,0.048,1,13.479,198.426,178,"[138, 365, 500, 191, 206, 435, 500, 166, 278, 250, 152, 167, 183, 273, 222, 341, 362, 360, 138, 500]",85.0,"[0.2732851201810752, 0.7454830184564079, 0.06993121216128312, 0.6948910198677665, 0.8604309737352772, 0.7250998943601429, '-', 0.04248307982571583, 0.009409435392827698, 0.6263280630826087]"
548.03,22.81,0.5,0.1,15,8.581,151.784,147,"[157, 177, 152, 208, 217, 208, 173, 176, 366, 199, 164, 208, 216, 169, 148, 168, 181, 250, 181, 197]",100.0,"[0.037264273241634394, 0.0004839947961413228, 3.493346903308368e-05, 0.12643061736676814, 0.006830255863044082, 0.20360267380135888, 0.04248307982571583, '-', 2.0407139096244576e-05, 0.017293486431260986]"
850.102,22.459,0.473,0.1,1,13.333,417.349,131,"[500, 443, 471, 500, 184, 455, 500, 407, 500, 136, 500, 182, 380, 500, 227, 217, 500, 500, 500, 500]",50.0,"[0.001227183033996389, 0.011881031549672502, 0.4170770595205646, 0.1332831707493199, 0.01606401314826911, 0.013833498919863277, 0.009409435392827698, 2.0407139096244576e-05, '-', 0.06786818721248442]"
474.21,25.379,0.5,0.01,1,10.331,500,165,"[298, 272, 145, 500, 117, 224, 180, 180, 500, 500, 500, 242, 388, 351, 416, 172, 500, 135, 182, 500]",70.0,"[0.19414845126597868, 0.7660458933595257, 0.22350758765929957, 0.9353224500925261, 0.6948910198677665, 0.4327745949916676, 0.6263280630826087, 0.017293486431260986, 0.06786818721248442, '-']"
