Solution,Evaluations,convergence(%),pvalue,conv_pvalue
179,"[199, 202, 256, 216, 500, 238, 140, 283, 189, 500, 203, 178, 190, 174, 206, 194, 204, 211, 179, 212]",90.0,0.28307389315280884,0.31530245208174557
212,"[177, 237, 144, 228, 204, 147, 167, 500, 283, 190, 207, 291, 500, 170, 217, 205, 308, 195, 191, 231]",90.0,0.8688301969253137,0.7150006546880893
157,"[215, 271, 132, 133, 242, 255, 200, 500, 231, 259, 177, 500, 158, 500, 153, 222, 194, 176, 322, 132]",85.0,0.32175033823889176,0.385742072026358
160,"[500, 195, 281, 254, 184, 224, 180, 239, 210, 195, 197, 228, 160, 188, 155, 164, 181, 500, 132, 412]",90.0,0.21549950906932702,0.23533326650958586
180,"[500, 248, 500, 204, 240, 180, 176, 173, 210, 183, 138, 500, 282, 500, 200, 500, 202, 141, 500, 500]",65.0,0.3637223273807114,0.619796388494133
165,"[500, 192, 200, 206, 500, 215, 287, 181, 284, 369, 185, 172, 229, 192, 260, 147, 212, 153, 231, 213]",90.0,0.18644918121998122,0.20124262095772394
158,"[227, 209, 233, 171, 228, 264, 202, 354, 157, 324, 193, 500, 240, 165, 185, 188, 166, 248, 234, 175]",95.0,0.1371995004149624,0.14045818220286102
162,"[174, 170, 188, 184, 500, 172, 151, 170, 192, 156, 128, 204, 200, 198, 201, 500, 125, 225, 208, 191]",90.0,0.32175033823889176,0.3613104285261787
157,"[205, 162, 170, 190, 216, 124, 199, 192, 179, 187, 178, 271, 500, 124, 209, 125, 175, 217, 133, 500]",90.0,0.32175033823889176,0.3613104285261787
191,"[276, 500, 226, 181, 156, 234, 214, 178, 168, 173, 195, 197, 180, 123, 500, 204, 500, 257, 148, 500]",80.0,0.7411815058736042,1.0
