Solution,Evaluations,convergence(%),pvalue,conv_pvalue
339,"[226, 145, 138, 173, 272, 242, 161, 179, 181, 325, 218, 500, 200, 334, 500, 139, 198, 189, 260, 189]",90.0,0.18644918121998122,0.10034824646229075
242,"[262, 230, 500, 214, 169, 218, 159, 170, 201, 141, 500, 169, 190, 168, 500, 160, 234, 182, 500, 157]",80.0,0.4089613420368744,0.15304188415881997
238,"[324, 140, 171, 339, 500, 500, 256, 187, 196, 176, 139, 161, 207, 500, 276, 500, 176, 176, 196, 305]",80.0,0.8688301969253137,0.5402913746074198
187,"[200, 282, 177, 227, 175, 213, 205, 225, 183, 235, 206, 200, 208, 145, 232, 184, 175, 170, 192, 182]",100.0,0.7411815058736042,0.7411815058736042
180,"[294, 216, 272, 163, 259, 217, 169, 208, 187, 230, 292, 195, 165, 190, 202, 168, 249, 500, 167, 191]",95.0,0.4089613420368744,0.4351560724455289
220,"[242, 239, 236, 151, 168, 500, 353, 216, 216, 167, 170, 500, 443, 214, 500, 500, 298, 500, 277, 195]",75.0,0.7411815058736042,0.9136266610628591
214,"[196, 203, 500, 154, 226, 306, 371, 500, 226, 186, 212, 253, 150, 178, 500, 160, 210, 200, 500, 208]",80.0,0.8688301969253137,0.5402913746074198
188,"[175, 210, 500, 229, 195, 215, 204, 203, 185, 198, 219, 500, 188, 206, 200, 195, 500, 348, 500, 231]",80.0,0.21549950906932702,0.2615722360139493
176,"[500, 207, 147, 140, 249, 203, 500, 204, 500, 281, 181, 168, 154, 229, 500, 288, 500, 147, 209, 500]",70.0,0.4089613420368744,0.6434288435636205
219,"[189, 500, 229, 214, 214, 218, 500, 187, 152, 150, 204, 279, 211, 167, 250, 134, 209, 218, 202, 238]",90.0,0.5088828153535194,0.3613104285261787
