Solution,Evaluations,convergence(%),pvalue,conv_pvalue
175,"[192, 500, 162, 201, 308, 189, 164, 367, 168, 500, 232, 210, 321, 278, 151, 250, 237, 175, 157, 120]",90.0,0.5632600841286355,0.6480768681391461
171,"[135, 177, 158, 247, 206, 173, 145, 191, 145, 210, 156, 188, 500, 342, 181, 203, 153, 263, 118, 218]",95.0,0.620294015349161,0.6646116295410063
172,"[276, 240, 500, 201, 174, 182, 387, 159, 278, 169, 320, 187, 157, 338, 157, 500, 183, 196, 500, 179]",85.0,0.32175033823889176,0.385742072026358
151,"[235, 249, 142, 166, 176, 128, 128, 144, 500, 203, 201, 500, 180, 129, 160, 206, 500, 150, 229, 160]",85.0,0.5088828153535194,0.6298987074792255
165,"[178, 500, 166, 196, 209, 148, 224, 216, 346, 500, 500, 168, 285, 170, 241, 239, 206, 175, 241, 216]",85.0,0.1371995004149624,0.14828710464180647
150,"[202, 189, 202, 186, 224, 217, 327, 268, 500, 318, 500, 226, 177, 192, 192, 248, 500, 200, 191, 286]",85.0,0.09864761042929915,0.10134744296061156
152,"[253, 183, 161, 175, 160, 203, 161, 313, 179, 168, 210, 196, 227, 500, 188, 162, 500, 239, 169, 220]",90.0,0.09864761042929915,0.10034824646229075
151,"[160, 135, 155, 162, 206, 234, 280, 165, 239, 210, 259, 199, 199, 208, 211, 160, 202, 205, 129, 148]",100.0,0.24767626769189333,0.24767626769189333
136,"[181, 161, 145, 218, 214, 500, 210, 142, 230, 245, 218, 162, 156, 258, 211, 137, 286, 289, 310, 500]",90.0,0.09864761042929915,0.10034824646229075
184,"[500, 232, 168, 214, 301, 179, 191, 163, 175, 187, 192, 195, 178, 387, 190, 419, 161, 149, 395, 500]",90.0,0.620294015349161,0.7150006546880893
