enter_deep_velocity,rotate_velocity,align_angle,avoid_distance,fwd_velocity,fwd_steps,enter_velocity,nb_steps
775.319,15.749,0.383,0.077,8.063,13.157,266.716,175
694.655,14.999,0.429,0.044,14.09,10.587,500,171
810.097,16.824,0.322,0.1,3.878,17.34,280.602,172
505.726,21.0,0.42,0.07,9.991,11.334,334.188,151
381.005,14.359,0.288,0.096,7.647,9.567,475.692,165
926.057,15.892,0.387,0.075,7.518,19.379,344.591,150
885.868,23.767,0.5,0.01,1,10.716,371.674,152
461.127,17.975,0.396,0.079,6.051,13.448,500,151
212.233,24.052,0.5,0.01,4.185,15.314,201.55,136
376.446,18.594,0.413,0.06,4.573,14.158,392.163,184
